Income,2019,2021,2023,2025,2027
0 - 10k,1540,5870,7440,8680,10070
10k - 20k,960,9050,11400,12180,16060
20k - 30k,80,9000,10200,12210,16720
30k - 40k,-3920,770,2440,2560,7610
40k - 50k,-6040,-2660,-1800,-1530,5270
50k - 75k,-22270,-19470,-16940,-17380,3980
75k - 100k,-21520,-21260,-18470,-19540,-1390
100k - 200k,-64240,-63990,-52900,-55470,-5340
200k - 500k,-59570,-60110,-50010,-54530,-5190
500k - 1M,-24880,-24080,-18690,-20000,-1940
1M and above,-34100,-28690,-13100,-15810,-5780
All,-233950,-195570,-140400,-148620,40110
